"","extraction_ID","seq_date","alternative_ID","collection_year","collection_month","collection_day","location1","location2","location3","longitude","latitude","sample_type","collected_by","extraction_by","extraction_date"
"523","NC22-1",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"526","NC22-2",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"529","NC22-3",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"532","NC22-4",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"535","NC22-5",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"538","PC21-1",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"541","PC21-2",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"544","PC21-3",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"547","PC21-4",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"550","PC22-1",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"553","PC22-2",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"556","PC22-3",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"559","PC22-4",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
"562","COM1",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"565","COM10",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"568","COM2",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"571","COM3",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"574","COM4",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"577","COM5",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"580","COM6",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"583","COM7",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"586","COM8",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"589","COM9",20240820,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"592","COM11",20241104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"595","COM12",20241104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"598","COM13",20241104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mock",NA,NA,NA
"601","COMNC",20241104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"603","COMPC",20241104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA
